year,no,new_id,category,answer
2023,1,301,生産の基本,×
2023,2,302,生産の基本,○
2023,3,303,生産の基本,○
2023,4,304,生産の基本,○
2023,5,305,生産の基本,○
2023,6,306,生産の基本,×
2023,7,307,生産の基本,○
2023,8,308,生産の基本,×
2023,9,309,生産の基本,○
2023,10,310,生産の基本,×
2023,11,311,生産の基本,○
2023,12,312,生産の基本,○
2023,13,313,生産の基本,○
2023,14,314,生産の基本,○
2023,15,315,生産の基本,○
2023,16,316,生産の基本,×
2023,17,317,生産の基本,○
2023,18,318,生産の基本,○
2023,19,319,生産の基本,×
2023,20,320,生産の基本,×
2023,21,321,生産の基本,○
2023,22,322,生産の基本,○
2023,23,323,生産の基本,×
2023,24,324,効率化とロス,○
2023,25,325,効率化とロス,×
2023,26,326,効率化とロス,×
2023,27,327,効率化とロス,×
2023,28,328,効率化とロス,○
2023,29,329,効率化とロス,×
2023,30,330,効率化とロス,×
2023,31,331,効率化とロス,○
2023,32,332,効率化とロス,×
2023,33,333,効率化とロス,○
2023,34,334,効率化とロス,×
2023,35,335,効率化とロス,○
2023,36,336,効率化とロス,×
2023,37,337,効率化とロス,×
2023,38,338,効率化とロス,○
2023,39,339,効率化とロス,×
2023,40,340,効率化とロス,×
2023,41,341,効率化とロス,×
2023,42,342,効率化とロス,○
2023,43,343,設備の日常保全,○
2023,44,344,設備の日常保全,○
2023,45,345,設備の日常保全,○
2023,46,346,設備の日常保全,○
2023,47,347,設備の日常保全,○
2023,48,348,設備の日常保全,×
2023,49,349,設備の日常保全,○
2023,50,350,設備の日常保全,○
2023,51,351,設備の日常保全,○
2023,52,352,設備の日常保全,×
2023,53,353,設備の日常保全,○
2023,54,354,設備の日常保全,×
2023,55,355,設備の日常保全,○
2023,56,356,設備の日常保全,×
2023,57,357,設備の日常保全,×
2023,58,358,設備の日常保全,○
2023,59,359,設備の日常保全,○
2023,60,360,設備の日常保全,○
2023,61,361,設備の日常保全,×
2023,62,362,改善・解析,×
2023,63,363,改善・解析,○
2023,64,364,改善・解析,○
2023,65,365,改善・解析,○
2023,66,366,改善・解析,○
2023,67,367,改善・解析,○
2023,68,368,改善・解析,○
2023,69,369,改善・解析,×
2023,70,370,改善・解析,○
2023,71,371,改善・解析,×
2023,72,372,改善・解析,×
2023,73,373,改善・解析,×
2023,74,374,改善・解析,×
2023,75,375,改善・解析,○
2023,76,376,改善・解析,○
2023,77,377,設備保全の基礎,×
2023,78,378,設備保全の基礎,○
2023,79,379,設備保全の基礎,×
2023,80,380,設備保全の基礎,○
2023,81,381,設備保全の基礎,×
2023,82,382,設備保全の基礎,○
2023,83,383,設備保全の基礎,○
2023,84,384,設備保全の基礎,×
2023,85,385,設備保全の基礎,×
2023,86,386,設備保全の基礎,×
2023,87,387,設備保全の基礎,×
2023,88,388,設備保全の基礎,×
2023,89,389,設備保全の基礎,×
2023,90,390,設備保全の基礎,○
2023,91,391,設備保全の基礎,○
2023,92,392,設備保全の基礎,○
2023,93,393,設備保全の基礎,×
2023,94,394,設備保全の基礎,×
2023,95,395,設備保全の基礎,○
2023,96,396,設備保全の基礎,○
2023,97,397,設備保全の基礎,○
2023,98,398,設備保全の基礎,○
2023,99,399,設備保全の基礎,○
2023,100,400,設備保全の基礎,○
2024,1,401,生産の基本,○
2024,2,402,生産の基本,○
2024,3,403,生産の基本,○
2024,4,404,生産の基本,×
2024,5,405,生産の基本,×
2024,6,406,生産の基本,○
2024,7,407,生産の基本,×
2024,8,408,生産の基本,×
2024,9,409,生産の基本,○
2024,10,410,生産の基本,×
2024,11,411,生産の基本,×
2024,12,412,生産の基本,×
2024,13,413,生産の基本,×
2024,14,414,生産の基本,○
2024,15,415,生産の基本,○
2024,16,416,生産の基本,○
2024,17,417,生産の基本,×
